SampleID,CropTrt,Day,Rep,Stuffed_g_fresh,Stuffed_g_dry,Stuffed_g_N,Stuffed_g_C,N_pct,C_pct,aver_N,aver_C,Ash_Pct,Stuffed_g_Ash,Final_dry_wash,Final_g_dry
SS-100-0,SS-100,0,1,9.28,3.89,0.051348,1.562613,0.79,38.92,1.32,40.17,0.04,3.888444,25,24.99
SS-100-0,SS-100,0,2,9.28,3.89,0.051348,1.562613,0.94,39.08,1.32,40.17,0.01,3.889611,25,24.9975
SS-100-0,SS-100,0,3,9.28,3.89,0.051348,1.562613,1.02,38.85,1.32,40.17,0.04,3.888444,25,24.99
SS-100-0,SS-100,0,4,9.28,3.89,0.051348,1.562613,0.67,38.62,1.32,40.17,0.03,3.888833,25,24.9925
SS-100-4,SS-100,4,1,9.28,3.89,0.051348,1.562613,1.21,39.91,1.32,40.17,0.02,3.889222,16,15.9968
SS-100-4,SS-100,4,2,9.28,3.89,0.051348,1.562613,1.21,40.38,1.32,40.17,0.02,3.889222,16,15.9968
SS-100-4,SS-100,4,3,9.28,3.89,0.051348,1.562613,1.14,39.98,1.32,40.17,0.03,3.888833,13,12.9961
SS-100-4,SS-100,4,4,9.28,3.89,0.051348,1.562613,1.47,39.81,1.32,40.17,0.02,3.889222,16,15.9968
SS-100-7,SS-100,7,1,9.28,3.89,0.051348,1.562613,1.03,40.61,1.32,40.17,0.01,3.889611,13,12.9987
SS-100-7,SS-100,7,2,9.28,3.89,0.051348,1.562613,1.35,41.18,1.32,40.17,0.03,3.888833,11,10.9967
SS-100-7,SS-100,7,3,9.28,3.89,0.051348,1.562613,1.06,40.99,1.32,40.17,0.03,3.888833,12,11.9964
SS-100-7,SS-100,7,4,9.28,3.89,0.051348,1.562613,0.9,41.07,1.32,40.17,0.02,3.889222,11,10.9978
SS-100-14,SS-100,14,1,9.28,3.89,0.051348,1.562613,1.24,38.96,1.32,40.17,0.01,3.889611,5,4.9995
SS-100-14,SS-100,14,2,9.28,3.89,0.051348,1.562613,1.16,39.22,1.32,40.17,0.03,3.888833,5,4.9985
SS-100-14,SS-100,14,3,9.28,3.89,0.051348,1.562613,1.15,38.33,1.32,40.17,0.03,3.888833,6,5.9982
SS-100-14,SS-100,14,4,9.28,3.89,0.051348,1.562613,1.49,39.33,1.32,40.17,0.02,3.889222,5,4.999
SS-100-28,SS-100,28,1,9.28,3.89,0.051348,1.562613,0.65,41.5,1.32,40.17,0.03,3.888833,3,2.9991
SS-100-28,SS-100,28,2,9.28,3.89,0.051348,1.562613,1.06,40.27,1.32,40.17,0.03,3.888833,2,1.9994
SS-100-28,SS-100,28,3,9.28,3.89,0.051348,1.562613,1.43,40.76,1.32,40.17,0.02,3.889222,3,2.9994
SS-100-28,SS-100,28,4,9.28,3.89,0.051348,1.562613,1.79,40.91,1.32,40.17,0.03,3.888833,3,2.9991
SS-100-42,SS-100,42,1,9.28,3.89,0.051348,1.562613,1.42,39.79,1.32,40.17,0.04,3.888444,2,1.9992
SS-100-42,SS-100,42,2,9.28,3.89,0.051348,1.562613,2.29,41.02,1.32,40.17,0.05,3.888055,3,2.9985
SS-100-42,SS-100,42,3,9.28,3.89,0.051348,1.562613,1.11,40.96,1.32,40.17,0.06,3.887666,3,2.9982
SS-100-42,SS-100,42,4,9.28,3.89,0.051348,1.562613,1.15,41.73,1.32,40.17,0.03,3.888833,2,1.9994
SS-100-56,SS-100,56,1,9.28,3.89,0.051348,1.562613,2.09,41.24,1.32,40.17,0.04,3.888444,2,1.9992
SS-100-56,SS-100,56,2,9.28,3.89,0.051348,1.562613,2.02,40.56,1.32,40.17,0.04,3.888444,3,2.9988
SS-100-56,SS-100,56,3,9.28,3.89,0.051348,1.562613,2.13,39.98,1.32,40.17,0.04,3.888444,2,1.9992
SS-100-56,SS-100,56,4,9.28,3.89,0.051348,1.562613,2.07,40.92,1.32,40.17,0.04,3.888444,3,2.9988
SH-100-0,SH-100,0,1,7.75,3.39,0.053223,1.330575,2.56,39.67,1.57,39.25,0.02,3.389322,25,24.995
SH-100-0,SH-100,0,2,7.75,3.39,0.053223,1.330575,2.6,39.77,1.57,39.25,0.02,3.389322,25,24.995
SH-100-0,SH-100,0,3,7.75,3.39,0.053223,1.330575,2.37,40.4,1.57,39.25,0.06,3.387966,25,24.985
SH-100-0,SH-100,0,4,7.75,3.39,0.053223,1.330575,2.46,40.18,1.57,39.25,0.02,3.389322,25,24.995
SH-100-4,SH-100,4,1,7.75,3.39,0.053223,1.330575,1.44,39.36,1.57,39.25,0.03,3.388983,9,8.9973
SH-100-4,SH-100,4,2,7.75,3.39,0.053223,1.330575,2.07,38.53,1.57,39.25,0.02,3.389322,9,8.9982
SH-100-4,SH-100,4,3,7.75,3.39,0.053223,1.330575,1.9,38.16,1.57,39.25,0.04,3.388644,8,7.9968
SH-100-4,SH-100,4,4,7.75,3.39,0.053223,1.330575,1.98,36.73,1.57,39.25,0.04,3.388644,8,7.9968
SH-100-7,SH-100,7,1,7.75,3.39,0.053223,1.330575,1.64,39.01,1.57,39.25,0.04,3.388644,6,5.9976
SH-100-7,SH-100,7,2,7.75,3.39,0.053223,1.330575,1.52,39.35,1.57,39.25,0.04,3.388644,6,5.9976
SH-100-7,SH-100,7,3,7.75,3.39,0.053223,1.330575,1.47,39.46,1.57,39.25,0.05,3.388305,6,5.997
SH-100-7,SH-100,7,4,7.75,3.39,0.053223,1.330575,1.48,39.03,1.57,39.25,0.06,3.387966,7,6.9958
SH-100-14,SH-100,14,1,7.75,3.39,0.053223,1.330575,1.28,37.67,1.57,39.25,0.04,3.388644,5,4.998
SH-100-14,SH-100,14,2,7.75,3.39,0.053223,1.330575,1.26,38.29,1.57,39.25,0.04,3.388644,5,4.998
SH-100-14,SH-100,14,3,7.75,3.39,0.053223,1.330575,1.08,39.03,1.57,39.25,0.04,3.388644,5,4.998
SH-100-14,SH-100,14,4,7.75,3.39,0.053223,1.330575,0.87,39.48,1.57,39.25,0.03,3.388983,5,4.9985
SH-100-28,SH-100,28,1,7.75,3.39,0.053223,1.330575,0.98,41.77,1.57,39.25,0.04,3.388644,4,3.9984
SH-100-28,SH-100,28,2,7.75,3.39,0.053223,1.330575,1.46,39.21,1.57,39.25,0.05,3.388305,4,3.998
SH-100-28,SH-100,28,3,7.75,3.39,0.053223,1.330575,1.25,38.88,1.57,39.25,0.05,3.388305,3,2.9985
SH-100-28,SH-100,28,4,7.75,3.39,0.053223,1.330575,0.94,40.6,1.57,39.25,0.03,3.388983,2,1.9994
SH-100-42,SH-100,42,1,7.75,3.39,0.053223,1.330575,1.71,38.37,1.57,39.25,0.07,3.387627,3,2.9979
SH-100-42,SH-100,42,2,7.75,3.39,0.053223,1.330575,1.69,38.89,1.57,39.25,0.06,3.387966,3,2.9982
SH-100-42,SH-100,42,3,7.75,3.39,0.053223,1.330575,1.38,40.32,1.57,39.25,0.05,3.388305,3,2.9985
SH-100-42,SH-100,42,4,7.75,3.39,0.053223,1.330575,0.77,41.27,1.57,39.25,0.05,3.388305,4,3.998
SH-100-56,SH-100,56,1,7.75,3.39,0.053223,1.330575,1.61,39.67,1.57,39.25,0.07,3.387627,3,2.9979
SH-100-56,SH-100,56,2,7.75,3.39,0.053223,1.330575,1.47,37.59,1.57,39.25,0.06,3.387966,2,1.9988
SH-100-56,SH-100,56,3,7.75,3.39,0.053223,1.330575,1.19,39.92,1.57,39.25,0.06,3.387966,4,3.9976
SH-100-56,SH-100,56,4,7.75,3.39,0.053223,1.330575,1.63,38.43,1.57,39.25,0.08,3.387288,3,2.9976
3SS-1SH-0,3SS-1SH,0,1,8.35,3.28,0.052152,1.307408,1.21,39.1,1.59,39.86,0.03,3.279016,25,24.9925
3SS-1SH-0,3SS-1SH,0,2,8.35,3.28,0.052152,1.307408,1.34,39.23,1.59,39.86,0.01,3.279672,25,24.9975
3SS-1SH-0,3SS-1SH,0,3,8.35,3.28,0.052152,1.307408,1.34,39.24,1.59,39.86,0.02,3.279344,25,24.995
3SS-1SH-0,3SS-1SH,0,4,8.35,3.28,0.052152,1.307408,1.6,39.99,1.59,39.86,0.03,3.279016,25,24.9925
3SS-1SH-4,3SS-1SH,4,1,8.35,3.28,0.052152,1.307408,2.34,38.23,1.59,39.86,0.03,3.279016,11,10.9967
3SS-1SH-4,3SS-1SH,4,2,8.35,3.28,0.052152,1.307408,2.01,36.96,1.59,39.86,0.03,3.279016,13,12.9961
3SS-1SH-4,3SS-1SH,4,3,8.35,3.28,0.052152,1.307408,1.5,38.59,1.59,39.86,0.02,3.279344,10,9.998
3SS-1SH-4,3SS-1SH,4,4,8.35,3.28,0.052152,1.307408,2.25,37.57,1.59,39.86,0.04,3.278688,10,9.996
